Focal Document Element,Focal Document Element Description,Rationale,Relationship,Reference Document Element,Reference Document Element Description,Fulfilled By (Y/N),Group Identifier (optional),Comments (optional),Strength of Relationship (optional)
RISK-1b,A strategy for cyber risk management is established and maintained in alignment with the organization's cybersecurity program strategy (PROGRAM-1b) and enterprise architecture,Semantic,intersects with,ID.RM-1,"Risk management processes are established, managed, and agreed to by organizational stakeholders",N,,,6
RISK-1b,A strategy for cyber risk management is established and maintained in alignment with the organization's cybersecurity program strategy (PROGRAM-1b) and enterprise architecture,Semantic,intersects with,ID.RM-2,Organizational risk tolerance is determined and clearly expressed,N,,,4
RISK-1b,A strategy for cyber risk management is established and maintained in alignment with the organization's cybersecurity program strategy (PROGRAM-1b) and enterprise architecture,Semantic,intersects with,ID.RM-3,The organization’s determination of risk tolerance is informed by its role in critical infrastructure and sector specific risk analysis,N,,,4
RISK-1c,The cyber risk management program is established and maintained to perform cyber risk management activities according to the cyber risk management strategy,Semantic,intersects with,ID.GV-4,Governance and risk management processes address cybersecurity risks,N ,,,5
RISK-1d,Information from RISK domain activities is communicated to relevant stakeholders,Semantic,intersects with,ID.GV-4,Governance and risk management processes address cybersecurity risks,N ,,,6
RISK-1d,Information from RISK domain activities is communicated to relevant stakeholders,Functional,intersects with,PR.IP-8,Effectiveness of protection technologies is shared,N,,,4
RISK-1e,Governance for the cyber risk management program is established and maintained,Semantic,intersects with,ID.GV-1,Organizational cybersecurity policy is established and communicated,N ,,,6
RISK-1e,Governance for the cyber risk management program is established and maintained,Semantic,intersects with,ID.GV-4,Governance and risk management processes address cybersecurity risks,N ,,,8
RISK-1e,Governance for the cyber risk management program is established and maintained,Semantic,intersects with,ID.RM-1,"Risk management processes are established, managed, and agreed to by organizational stakeholders",N,,,6
RISK-1f,Senior management sponsorship for the cyber risk management program is visible and active,Functional,superset of,ID.RM-2,Organizational risk tolerance is determined and clearly expressed,N,,,8
RISK-1f,Senior management sponsorship for the cyber risk management program is visible and active,Functional,intersects with,ID.RM-3,The organization’s determination of risk tolerance is informed by its role in critical infrastructure and sector specific risk analysis,N,,,4
RISK-1f,Senior management sponsorship for the cyber risk management program is visible and active,Functional,subset of,ID.SC-1,"Cyber supply chain risk management processes are identified, established, assessed, managed, and agreed to by organizational stakeholders",Y ,,,8
RISK-1g,The cyber risk management program aligns with the organization's mission and objectives,Semantic,intersects with,ID.GV-4,Governance and risk management processes address cybersecurity risks,N,,,7
RISK-1g,The cyber risk management program aligns with the organization's mission and objectives,Semantic,intersects with,ID.RM-1,"Risk management processes are established, managed, and agreed to by organizational stakeholders",N,,,5
RISK-1h,The cyber risk management program is coordinated with the organization’s enterprise-wide risk management program,Semantic,intersects with,ID.GV-4,Governance and risk management processes address cybersecurity risks,N,,,5
RISK-2a,"Cyber risks are identified, at least in an ad hoc manner",Semantic,intersects with,ID.GV-4,Governance and risk management processes address cybersecurity risks,N,,,4
RISK-2b,A defined method is used to identify cyber risks,Semantic,intersects with,ID.RM-1,"Risk management processes are established, managed, and agreed to by organizational stakeholders",N,,,5
RISK-2b,A defined method is used to identify cyber risks,Functional,intersects with,ID.RA-4,Potential business impacts and likelihoods are identified,N ,,,4
RISK-2b,A defined method is used to identify cyber risks,Semantic,intersects with,ID.RA-5,"Threats, vulnerabilities, likelihoods, and impacts are used to determine risk",N ,,,5
RISK-2c,Stakeholders from appropriate operations and business areas participate in the identification of cyber risks,,not related to,,,N,,,0
RISK-2d,"Identified cyber risks are consolidated into categories (for example, data breaches, insider mistakes, ransomware, OT control takeover) to facilitate management at the category level",,not related to,,,N,,,0
RISK-2e,Cyber risk categories and cyber risks are documented in a risk register or other artifact,,not related to,,,N,,,0
RISK-2f,Cyber risk categories and cyber risks are assigned to risk owners,,not related to,,,N,,,0
RISK-2g,"Cyber risk identification activities are performed periodically and according to defined triggers, such as system changes and external events",Semantic,intersects with,ID.RM-1,"Risk management processes are established, managed, and agreed to by organizational stakeholders",N,,,4
RISK-2h,"Cyber risk identification activities leverage asset inventory and prioritization information from the ASSET domain, such as IT and OT asset end of support, single points of failure, information asset risk of disclosure, tampering, or destruction",,not related to,,,N,,,0
RISK-2i,Vulnerability management information from THREAT domain activities is used to update cyber risks and identify new risks (such as risks arising from vulnerabilities that pose an ongoing risk to the organization or newly identified vulnerabilities),Semantic,intersects with,ID.RA-5,"Threats, vulnerabilities, likelihoods, and impacts are used to determine risk",Y,RISK-2i:G1,,4
RISK-2i,Vulnerability management information from THREAT domain activities is used to update cyber risks and identify new risks (such as risks arising from vulnerabilities that pose an ongoing risk to the organization or newly identified vulnerabilities),Semantic,intersects with,RS.MI-3,Newly identified vulnerabilities are mitigated or documented as accepted risks,Y,RISK-2i:G1,,7
RISK-2j,Threat management information from THREAT domain activities is used to update cyber risks and identify new risks,Semantic,intersects with,ID.RA-5,"Threats, vulnerabilities, likelihoods, and impacts are used to determine risk",N,,,4
RISK-2k,Information from THIRD-PARTIES domain activities is used to update cyber risks and identify new risks,Semantic,intersects with,ID.SC-1,"Cyber supply chain risk management processes are identified, established, assessed, managed, and agreed to by organizational stakeholders",N,,,5
RISK-2l,Information from ARCHITECTURE domain activities (such as unmitigated architectural conformance gaps) is used to update cyber risks and identify new risks,,not related to,,,N,,,0
RISK-2m,Cyber risk identification considers risks that may arise from or impact critical infrastructure or other interdependent organizations,Functional,intersects with,ID.BE-1,The organization’s role in the supply chain is identified and communicated,N,,,6
RISK-2m,Cyber risk identification considers risks that may arise from or impact critical infrastructure or other interdependent organizations,Functional,intersects with,ID.BE-2,The organization’s place in critical infrastructure and its industry sector is identified and communicated,N,,,5
